epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,1689.13,0.67215,0.31743,0.77504,0.92128,0.72859,0.82017,0.57846,0.74817,0.36201,0.78565,0.00028475,0.00028475,0.00028475
80,1710,0.66615,0.31284,0.7756,0.87089,0.70744,0.80358,0.55575,0.75758,0.37268,0.78659,0.000272375,0.000272375,0.000272375
81,1731.72,0.64486,0.30455,0.77581,0.81852,0.71073,0.80293,0.55754,0.77514,0.38219,0.78588,0.00026,0.00026,0.00026
82,1753.16,0.64527,0.30647,0.77422,0.88014,0.74288,0.81837,0.57702,0.74268,0.35668,0.78372,0.000247625,0.000247625,0.000247625
83,1773.88,0.64487,0.3056,0.7761,0.90745,0.70812,0.81456,0.58058,0.7277,0.3676,0.78337,0.00023525,0.00023525,0.00023525
84,1795.48,0.64936,0.30544,0.77426,0.89045,0.75555,0.83209,0.57172,0.75929,0.36476,0.78462,0.000222875,0.000222875,0.000222875
85,1816.57,0.64744,0.30552,0.77255,0.90996,0.73669,0.82306,0.57606,0.74649,0.36609,0.78474,0.0002105,0.0002105,0.0002105
86,1837.58,0.6247,0.29508,0.775,0.85302,0.75273,0.81798,0.57925,0.75071,0.36701,0.78473,0.000198125,0.000198125,0.000198125
87,1858.54,0.63162,0.29917,0.77351,0.85515,0.72707,0.80523,0.56849,0.75009,0.36553,0.78408,0.00018575,0.00018575,0.00018575
88,1880.88,0.64508,0.30025,0.77386,0.88283,0.76198,0.83023,0.59464,0.7417,0.35128,0.78395,0.000173375,0.000173375,0.000173375
89,1903.68,0.61681,0.29234,0.77322,0.8579,0.75455,0.82586,0.57881,0.7331,0.35512,0.78412,0.000161,0.000161,0.000161
90,1924.96,0.62114,0.29305,0.77454,0.86189,0.73437,0.81757,0.58676,0.76126,0.36298,0.78505,0.000148625,0.000148625,0.000148625
91,1948.67,0.5965,0.29329,0.7725,0.95869,0.70764,0.81679,0.57321,0.74991,0.35813,0.78489,0.00013625,0.00013625,0.00013625
92,1969.1,0.58512,0.2892,0.77316,0.9242,0.73128,0.82912,0.58477,0.75776,0.36205,0.78472,0.000123875,0.000123875,0.000123875
93,1989.71,0.58505,0.28291,0.77443,0.90421,0.70886,0.81064,0.57857,0.74839,0.36681,0.7845,0.0001115,0.0001115,0.0001115
94,2009.71,0.56861,0.27804,0.77238,0.93887,0.72181,0.82885,0.58954,0.77956,0.37341,0.78598,9.9125e-05,9.9125e-05,9.9125e-05
95,2030.09,0.56695,0.27643,0.77024,0.92359,0.72557,0.82545,0.58955,0.75499,0.37002,0.78422,8.675e-05,8.675e-05,8.675e-05
96,2050.96,0.55291,0.27304,0.7722,0.90528,0.68859,0.80617,0.56893,0.75752,0.37192,0.78427,7.4375e-05,7.4375e-05,7.4375e-05
97,2071.3,0.55133,0.27048,0.77091,0.91331,0.72855,0.82741,0.58883,0.75165,0.36129,0.78484,6.2e-05,6.2e-05,6.2e-05
98,2091.95,0.53763,0.26668,0.77196,0.90011,0.73822,0.82594,0.59177,0.7515,0.35759,0.78423,4.9625e-05,4.9625e-05,4.9625e-05
99,2111.97,0.56075,0.2717,0.77089,0.88196,0.73137,0.82076,0.57823,0.75464,0.3659,0.78412,3.725e-05,3.725e-05,3.725e-05
100,2132.75,0.543,0.26879,0.76968,0.8956,0.73523,0.82651,0.57891,0.75062,0.36555,0.78388,2.4875e-05,2.4875e-05,2.4875e-05
